objectid,parentid,surname,title,creator,date,date_range,date_is_approximate?,publisher,description,subject,location,latitude,longitude,source,identifier,type,format,extension,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb
adamsfamily,,,Adams Family Compound Object,,,,,,,,,43.6094542,-116.3931117,,,record,compound_obect,,eng,,,compound_object,,,
adams_d1_compound,adamsfamily,adamsfamily,William Leroy Adams and Mary Armeda Daly Adams Family,,1835,1835-1975,yes,,"Family history for the William Adams (abt. Dec. 1860-Sept 15,1927) and Daly families.  Wife: Mary Armeda Daly Adams (Apr. 29, 1870-Aug. 23, 1929).  Children: Lloyd Filmore Adams (Aug. 6, 1889-Unknown), Loah Olive Voorhees (May 29, 1888-Feb 28. 1958)",genealogy,"Benton, Missouri;Meridian, Idaho;Los Angeles, California",,,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_adams_d1.pdf,/objects/small/col004_adams_d1_sm.jpg,/objects/thumbs/col004_adams_d1_th.jpg
adams_d2_compound,adamsfamily,adamsfamily,Dora Adams Ancestry Information,,1875,1875-1937,yes,Ancestry.com,"Ancestry information for multiple Dora Adams (Jan. 28, 1875-Nov. 11, 1937) family members as well as marriage and birth information. Husband: Silas Pallatiah Leighton (1867-1950).  Children:Iva Floy Leighton (1894-1981), Roy C. Leighton (1895-1915), Mabel Lorene Leighton (1898-1919).",genealogy,"Meridian, Idaho;Putnam, Missouri",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_adams_d2.pdf,/objects/small/col004_adams_d2_sm.jpg,/objects/thumbs/col004_adams_d2_th.jpg
adams_d3_compound,adamsfamily,adamsfamily,The Family of Tarvin Adams and Mahalia Adams,,1835,1835-1966,yes,Ancestry.com,"Ancestry information for multiple Adams family members. Tarvin Adams (Nov. 18, 1835-Aug. 15, 1902). Mahala (or Mahalia) Jane Rowan (May 23, 1844-Mar. 20, 1903).  Children: William Leroy Adams (Dec. 1863-Unknown), Mary Erra Adams (Aug. 4, 1864-Dec. 5, 1933), Otis Adams (Sep. 12, 1871-Sep. 8, 1936), Cora B. Adams (Dec. 1872-Unknown), Louise May Adams (Dec. 7, 1877-Dec. 20, 1948), Frederick Adams (Jan. 1879-Unknown), Ada Adams (July 1883-Unknown), John E. Adams (April 1885-Unknown), Lester Leoran Adams (May 22, 1887-Mar. 3, 1966)",genealogy,"Meridian, Idaho;Putnam, MO",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_adams_d3.pdf,/objects/small/col004_adams_d3_sm.jpg,/objects/thumbs/col004_adams_d3_th.jpg
adams_d4_compound,adamsfamily,adamsfamily,Mahala Jane Rowan Overview,,1820,1820-1950,yes,Ancestry.com,Ancestry information for Mahala Jane Rowan,genealogy,"Meridian, Idaho;Putnam, Missouri",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_adams_d4.pdf,/objects/small/col004_adams_d4_sm.jpg,/objects/thumbs/col004_adams_d4_th.jpg
adams_d5_compound,adamsfamily,adamsfamily,Tarvin Adams Overview,,1835,1835-1902,yes,Ancestry.com,Ancestry information for Tarvin Adams and additional family members.,genealogy,"Meridian, Idaho;Putnam, Missouri",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_adams_d5.pdf,/objects/small/col004_adams_d5_sm.jpg,/objects/thumbs/col004_adams_d5_th.jpg
adams_d6_compound,adamsfamily,adamsfamily,Otis and Cora Weygandt Pruitt Adams Marriage License,,1931-05-04,,,,"Marriage License for Otis and Cora Adams. They were married in Dayton, Ohio on May 4, 1931.",genealogy;marriage licenses;legal,"Dayton, Ohio",,,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_adams_d6.pdf,/objects/small/col004_adams_d6_sm.jpg,/objects/thumbs/col004_adams_d6_th.jpg
adams_d7_compound,adamsfamily,adamsfamily,1880 United States Federal Census record for Tarvin Adams,,1880,,,Ancestry.com,Tarvin Adams Census,genealogy;census,"Putnam, Missouri",,,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_adams_d7.pdf,/objects/small/col004_adams_d7_sm.jpg,/objects/thumbs/col004_adams_d7_th.jpg
adams_d8_compound,adamsfamily,adamsfamily,Legal Document;Adams,,1902-11-21,,,,Mostly illegible legal document having something to do with the family of Otis Adams,genealogy;legal,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_adams_d8.pdf,/objects/small/col004_adams_d8_sm.jpg,/objects/thumbs/col004_adams_d8_th.jpg
adams_d9_compound,adamsfamily,adamsfamily,Brief entries from the Idaho Statesman and Meridian Times,,1897,1897-1919,yes,Meridian Times;Idaho Statesman,Brief snippets of information pertaining to the Adams family.  Building permits and business announcements.,newspaper articles,"Meridian, Idaho",43.6094542,-116.3931117,"Meridian Library History Center, FC1",,Text,application/pdf,pdf,eng,,,pdf,/objects/col004_adams_d9.pdf,/objects/small/col004_adams_d9_sm.jpg,/objects/thumbs/col004_adams_d9_th.jpg
